event_id,title,url,outlet,start_date,session_time,registration_open,min_price,max_price,source
96712989,Yishun Clover RC Dance Fit Club 2026,https://www.onepa.gov.sg/events/yishun-clover-rc-dance-fit-club-2026-96712989,Yishun Clover RC,20 May 2026,10:00 AM - 11:30 AM,True,24.0,24.0,Health & Fitness (this-month)
69022740,Punggol Riviera RN Foam Blaster (30 May 2026),https://www.onepa.gov.sg/events/punggol-riviera-rn-foam-blaster-30-may-2026-69022740,Punggol Riviera RN,30 May 2026,2:00 PM - 5:00 PM,True,3.0,3.0,Health & Fitness (this-month)
16804849,Ang Mo Kio-Hougang CSN Beach Volleyball Clinic 1.0 2026,https://www.onepa.gov.sg/events/ang-mo-kio-hougang-csn-beach-volleyball-clinic-1-0-2026-16804849,Ci Yuan CC,30 May 2026,3:00 PM - 5:00 PM,True,5.0,5.0,Health & Fitness (this-month)
47538599,Ang Mo Kio-Hougang CSN Pickleball Clinic for Youths 1.0 2026,https://www.onepa.gov.sg/events/ang-mo-kio-hougang-csn-pickleball-clinic-for-youths-1-0-2026-47538599,Ci Yuan CC,16 May 2026,9:00 AM - 12:00 PM,True,2.0,2.0,Health & Fitness (this-month)
94086607,Ang Mo Kio-Hougang CSN GOHike Scenic Quarries Trail (May 2026),https://www.onepa.gov.sg/events/ang-mo-kio-hougang-csn-gohike-scenic-quarries-trail-may-2026-94086607,Ci Yuan CC,23 May 2026,7:00 AM - 5:00 PM,True,3.0,9.0,Health & Fitness (this-month)
69572917,"Live Well, Move Well, Age well",https://www.onepa.gov.sg/events/live-well-move-well-age-well-69572917,Joo Chiat CC,23 May 2026,9:00 AM - 1:00 PM,True,0.0,0.0,Health & Fitness (this-month)
79354686,PWJLG - Project Blue WaVe Ambassador Workshop (16 May 2026),https://www.onepa.gov.sg/events/pwjlg-project-blue-wave-ambassador-workshop-16-may-2026-79354686,Passion Wave @ Jurong Lake Gardens,16 May 2026,9:00 AM - 4:00 PM,True,0.0,0.0,Health & Fitness (this-month)
70505992,[Woodlands Zone 3 RN] - Dance Fit Club (HealthierSG),https://www.onepa.gov.sg/events/woodlands-zone-3-rn-dance-fit-club-healthiersg-70505992,Woodlands Zone 3 RN,02 Mar 2026 - 22 Feb 2027,8:00 PM - 9:30 PM,True,24.0,24.0,Health & Fitness (this-month)
76651884,Half-Day CPR and AED Certification Course at Marine Crescent Gardens RN ,https://www.onepa.gov.sg/events/half-day-cpr-and-aed-certification-course-at-marine-crescent-gardens-rn-76651884,Joo Chiat CC,23 May 2026,9:30 AM - 1:30 PM,True,0.0,0.0,Health & Fitness (this-month)
83352157,(WSRN) Brisk Walk Club T-shirt (2026),https://www.onepa.gov.sg/events/wsrn-brisk-walk-club-t-shirt-2026-83352157,Kolam Ayer Whampoa South RN,27 Dec 2025 - 27 Nov 2026,9:00 AM - 11:30 PM,True,10.0,10.0,Health & Fitness (this-month)
15205852,WEC Funwalk - 17 May 26,https://www.onepa.gov.sg/events/wec-funwalk-17-may-26-15205852,Chua Chu Kang CC,17 May 2026,7:00 AM - 11:00 AM,True,3.0,3.0,Health & Fitness (this-month)
18966688,20260513 Wednesdays Zumba Gold @ Garden Hill,https://www.onepa.gov.sg/events/20260513-wednesdays-zumba-gold-garden-hill-18966688,Kampong Chai Chee Garden Hill RN,13 May 2026,7:30 PM - 9:30 PM,True,0.0,0.0,Health & Fitness (this-month)
47827707,20260520 Wednesdays Zumba Gold @ Garden Hill,https://www.onepa.gov.sg/events/20260520-wednesdays-zumba-gold-garden-hill-47827707,Kampong Chai Chee Garden Hill RN,20 May 2026,7:30 PM - 9:30 PM,True,0.0,0.0,Health & Fitness (this-month)
44030613,Sembawang GRC Football 5-a-side Community Championship 2026 (Organised by Admiralty CSN),https://www.onepa.gov.sg/events/sembawang-grc-football-5-a-side-community-championship-2026-organised-by-admiralty-csn-44030613,Ace The Place CC,24 May 2026,10:30 AM - 2:00 PM,True,15.0,15.0,Health & Fitness (this-month)
91437556,Taman Jurong CC Line Dance (23 May 2026),https://www.onepa.gov.sg/events/taman-jurong-cc-line-dance-23-may-2026-91437556,Taman Jurong CC,23 May 2026,4:00 PM - 8:00 PM,True,5.0,5.0,Health & Fitness (this-month)
86807942,(CSN) Sembawang West CSN Community Fun Bowling 2026,https://www.onepa.gov.sg/events/csn-sembawang-west-csn-community-fun-bowling-2026-86807942,Woodlands Galaxy CC,24 May 2026,1:00 PM - 3:30 PM,True,50.0,50.0,Health & Fitness (this-month)
24971696,TPE Zone 1 RN BollyRobics 20.05.26,https://www.onepa.gov.sg/events/tpe-zone-1-rn-bollyrobics-20-05-26-24971696,Toa Payoh East Zone 1 RN,20 May 2026,7:30 PM - 9:30 PM,True,0.0,0.0,Health & Fitness (this-month)
59593335,TPE Zone 1 RN BollyRobics 13.05.26,https://www.onepa.gov.sg/events/tpe-zone-1-rn-bollyrobics-13-05-26-59593335,Toa Payoh East Zone 1 RN,13 May 2026,7:30 PM - 9:30 PM,True,0.0,0.0,Health & Fitness (this-month)
11457412,PAssion Wave Orienteering Championship 2026 23 May 2026,https://www.onepa.gov.sg/events/passion-wave-orienteering-championship-2026-23-may-2026-11457412,Passion Wave Outpost @ Bayfront,23 May 2026,9:00 AM - 1:00 PM,True,0.0,15.0,Health & Fitness (this-month)
